Time,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/rf_ext/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/ibuf/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/csr/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/div/
670309,2000000.0,178000.0,275700.0,43400.0,3100.0
670311,990000.0,135300.0,53300.0,313600.0,-100.0
670313,1390000.0,230100.0,273900.0,307000.0,-200.0
670315,1050000.0,237700.0,163500.0,28600.0,-100.0
670319,1100000.0,144500.0,92800.0,44700.0,-600.0
670321,1530000.0,287000.0,277400.0,316000.0,0.0
670323,2060000.0,199500.0,303300.0,109600.0,-100.0
670327,1020000.0,131000.0,78900.0,298600.0,-100.0
670329,1520000.0,232000.0,331600.0,289400.0,-300.0
670331,1060000.0,232300.0,160500.0,31300.0,-100.0
670335,1120000.0,144700.0,92500.0,49800.0,-700.0
670337,1540000.0,299900.0,280500.0,331300.0,0.0
670339,2080000.0,200100.0,302100.0,123900.0,0.0
670341,2010000.0,174000.0,270100.0,44900.0,3200.0
670343,950000.0,132100.0,45700.0,292500.0,-100.0
670345,1390000.0,235800.0,270900.0,280200.0,-300.0
670347,1060000.0,229700.0,164900.0,29700.0,-100.0
670351,1100000.0,144400.0,91200.0,44400.0,-700.0
670353,1520000.0,302400.0,275500.0,322400.0,0.0
670355,2020000.0,197600.0,297600.0,111100.0,-100.0
670359,930000.0,132000.0,45000.0,291600.0,-100.0
670361,1330000.0,237800.0,270300.0,277700.0,-200.0
670363,1050000.0,234400.0,164900.0,27900.0,-100.0
670367,1120000.0,145600.0,93100.0,45700.0,-600.0
670369,1570000.0,306300.0,278500.0,339900.0,0.0
670371,2110000.0,196400.0,292100.0,134600.0,0.0
670375,940000.0,137800.0,37100.0,307200.0,-100.0
670377,1380000.0,250400.0,261500.0,304800.0,-300.0
670379,760000.0,236700.0,153100.0,58300.0,-100.0
670381,1090000.0,260400.0,216100.0,204200.0,-100.0
670383,820000.0,283200.0,188200.0,18100.0,-100.0
670385,1430000.0,274300.0,217000.0,25000.0,7200.0
670387,2370000.0,341900.0,275600.0,23900.0,3600.0
670389,2720000.0,279900.0,228400.0,270500.0,6200.0
670391,2700000.0,348700.0,162800.0,446400.0,-800.0
670393,1780000.0,422800.0,216100.0,447600.0,-500.0
670395,660000.0,239300.0,130100.0,67400.0,-400.0
670397,2210000.0,364500.0,219300.0,8700.0,200.0
670399,1620000.0,286200.0,222000.0,10400.0,20500.0
670401,1200000.0,248000.0,133200.0,75600.0,5100.0
670403,880000.0,176600.0,102500.0,170800.0,0.0
670405,1580000.0,253000.0,205100.0,131100.0,42800.0
670407,1820000.0,419700.0,219000.0,66500.0,1300.0
670409,1570000.0,309700.0,204200.0,71700.0,-600.0
670411,1730000.0,256000.0,243800.0,209600.0,700.0
670413,2100000.0,277300.0,171900.0,185400.0,0.0
670415,1910000.0,219800.0,121600.0,233400.0,3600.0
670417,2060000.0,322700.0,215500.0,324000.0,4200.0
670419,1940000.0,241500.0,140200.0,298600.0,200.0
670421,1440000.0,344600.0,185700.0,286400.0,-100.0
670423,1590000.0,317700.0,264400.0,255500.0,-200.0
670425,2380000.0,380900.0,220600.0,147200.0,-400.0
670427,2430000.0,363800.0,286100.0,209400.0,-300.0
670429,1970000.0,342200.0,197400.0,257800.0,4300.0
670431,1990000.0,377100.0,225500.0,213500.0,1400.0
670433,1700000.0,448800.0,203500.0,180400.0,3000.0
670435,1460000.0,311700.0,203300.0,91500.0,-400.0
670437,2260000.0,366400.0,216500.0,206000.0,-600.0
670439,1780000.0,223200.0,101300.0,224700.0,0.0
670441,1500000.0,344400.0,240300.0,237800.0,-300.0
670443,1540000.0,580500.0,268300.0,218000.0,-200.0
670445,840000.0,351800.0,277300.0,13800.0,-100.0
670447,570000.0,258800.0,128300.0,23800.0,-100.0
670449,2070000.0,421100.0,216300.0,63700.0,-200.0
670451,1520000.0,206700.0,90200.0,11100.0,0.0
670453,1670000.0,362000.0,212900.0,341900.0,0.0
670455,1590000.0,404300.0,134900.0,243200.0,100.0
670457,1770000.0,270700.0,78200.0,57500.0,-300.0
670459,2380000.0,335700.0,200700.0,245100.0,-200.0
670461,2450000.0,382600.0,199600.0,271300.0,-300.0
670463,2220000.0,285600.0,229900.0,176000.0,-200.0
670465,1680000.0,216700.0,70800.0,220000.0,5800.0
670467,1700000.0,317800.0,103600.0,203800.0,10900.0
670469,1400000.0,303300.0,235200.0,199100.0,112200.0
670471,1380000.0,197600.0,212400.0,141600.0,252100.0
670473,1170000.0,187100.0,115700.0,80500.0,376500.0
670475,1760000.0,411600.0,247100.0,144100.0,298800.0
670477,1540000.0,407000.0,228200.0,92300.0,4100.0
670479,1070000.0,357000.0,112300.0,53100.0,-800.0
670481,1090000.0,290400.0,221500.0,159200.0,-400.0
670483,1070000.0,201100.0,113100.0,44300.0,7400.0
670485,1580000.0,425200.0,266800.0,27300.0,13000.0
670487,1680000.0,469900.0,305800.0,154900.00000000012,-800.0
670489,1410000.0,347500.0,188700.0,149700.0,-800.0
670491,910000.0,219300.0,52800.0,102400.0,400.0
670493,1600000.0,444100.0,225400.0,148300.0,-200.0
670495,1540000.0,387200.0,222000.0,116300.0,4300.0
670497,1080000.0,226500.0,179300.0,25200.0,2500.0
670499,1660000.0,391100.0,247000.0,236300.0,-300.0
670501,970000.0,228700.0,96200.0,180300.0,-300.0
670503,1840000.0,412900.0,268300.0,185900.0,100.0
670505,1710000.0,289000.0,245300.0,170100.0,-300.0
670507,1670000.0,352100.0,315300.0,92400.0,-300.0
670509,2820000.0,470800.0,261000.0,249800.0,600.0
670511,2420000.0,367300.0,217500.0,198100.0,0.0
670513,1700000.0,411000.0,200800.0,193100.0,-200.0
670515,1770000.0,476700.0,240400.0,213600.0,0.0
670517,1330000.0,455300.0,132300.0,158500.0,-200.0
670519,1640000.0,502300.0,211800.0,184300.0,-100.0
670521,1770000.0,443800.0,243000.0,24000.0,-100.0
670523,1760000.0,353400.0,270500.0,153000.0,0.0
670525,2590000.0,343400.0,234200.0,79300.0,-100.0
670527,2580000.0,330400.0,155200.0,217000.0,-400.0
670529,1480000.0,281000.0,159000.0,215500.0,-100.0
670531,1290000.0,294600.0,193400.0,193500.0,700.0
670533,1000000.0,199300.0,219100.0,97500.0,-700.0
670535,900000.0,224300.0,138400.0,83700.0,-200.0
670537,880000.0,191400.0,259500.0,109700.0,-200.0
670539,950000.0,325600.0,259100.0,103300.0,0.0
670541,550000.0,172300.0,157200.0,16200.0,-100.0
670543,850000.0,303700.0,131000.0,84000.0,-100.0
670545,900000.0,230900.0,208200.0,64300.0,-100.0
